year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,period,delay_rate_pct,not_delayed_15plus_rate_pct,cancellation_rate_pct,diversion_rate_pct,avg_delay_minutes_per_delayed_flight,avg_delay_minutes_per_flight,carrier_delay_share_pct,weather_delay_share_pct,nas_delay_share_pct,security_delay_share_pct,late_aircraft_delay_share_pct,source_file
2025,1,9E,"Endeavor Air Inc.",ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",88.00,12.00,6.70,1.04,2.30,0.00,1.96,4.00,0.00,1049.00,367.00,394.00,65.00,0.00,223.00,2025-01,13.6364,86.3636,4.5455,0,87.4167,11.9205,34.9857,37.5596,6.1964,0,21.2583,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",ABY,"Albany, GA: Southwest Georgia Regional",9.00,2.00,1.56,0.00,0.11,0.00,0.33,0.00,0.00,89.00,72.00,0.00,6.00,0.00,11.00,2025-01,22.2222,77.7778,0,0,44.5,9.8889,80.8989,0,6.7416,0,12.3596,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",AEX,"Alexandria, LA: Alexandria International",84.00,8.00,3.97,1.55,1.68,0.00,0.80,7.00,1.00,565.00,331.00,80.00,89.00,0.00,65.00,2025-01,9.5238,90.4762,8.3333,1.1905,70.625,6.7262,58.5841,14.1593,15.7522,0,11.5044,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",AGS,"Augusta, GA: Augusta Regional at Bush Field",120.00,18.00,7.09,4.28,0.40,0.00,6.23,9.00,0.00,2599.00,835.00,1236.00,83.00,0.00,445.00,2025-01,15,85,7.5,0,144.3889,21.6583,32.1277,47.5568,3.1935,0,17.122,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",ALB,"Albany, NY: Albany International",61.00,15.00,3.90,1.00,5.77,0.00,4.33,1.00,0.00,671.00,221.00,53.00,198.00,0.00,199.00,2025-01,24.5902,75.4098,1.6393,0,44.7333,11,32.9359,7.8987,29.5082,0,29.6572,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3160.00,523.00,107.26,15.59,130.55,1.38,268.22,212.00,0.00,46500.00,12381.00,4293.00,7059.00,50.00,22717.00,2025-01,16.5506,83.4494,6.7089,0,88.9101,14.7152,26.6258,9.2323,15.1806,0.1075,48.8538,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",ATW,"Appleton, WI: Appleton International",22.00,3.00,0.00,0.00,0.01,0.00,2.99,0.00,0.00,548.00,1.00,0.00,3.00,0.00,544.00,2025-01,13.6364,86.3636,0,0,182.6667,24.9091,0.1825,0,0.5474,0,99.2701,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",AVL,"Asheville, NC: Asheville Regional",118.00,16.00,3.51,1.42,5.44,0.00,5.62,6.00,0.00,1240.00,170.00,193.00,366.00,0.00,511.00,2025-01,13.5593,86.4407,5.0847,0,77.5,10.5085,13.7097,15.5645,29.5161,0,41.2097,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",1.00,1.00,0.69,0.00,0.31,0.00,0.00,0.00,0.00,77.00,53.00,0.00,24.00,0.00,0.00,2025-01,100,0,0,0,77,77,68.8312,0,31.1688,0,0,bts_airline_delay_2025_01.zip
2025,1,9E,"Endeavor Air Inc.",BDL,"Hartford, CT: Bradley International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2025-01,0,100,0,0,,0,,,,,,bts_airline_delay_2025_01.zip
