carrier,carrier_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate_pct,not_delayed_15plus_rate_pct,cancellation_rate_pct,diversion_rate_pct,avg_delay_minutes_per_delayed_flight,avg_delay_minutes_per_flight,carrier_delay_share_pct,weather_delay_share_pct,nas_delay_share_pct,security_delay_share_pct,late_aircraft_delay_share_pct,months_reported,rank_eligible,delay_rate_rank,cancellation_rate_rank,diversion_rate_rank,avg_delay_per_flight_rank,not_delayed_15plus_rank
YV,"Mesa Airlines Inc.",108724,18174,6130.03,843.66,5712.72,1,5486.89,1911,318,1478630,447602,123525,305098,169,602236,16.7157,83.2843,1.7577,0.2925,81.3596,13.5998,30.2714,8.354,20.6338,0.0114,40.7293,17,1,1,9,16,7,1
QX,"Horizon Air",135783,22727,5295.09,483.18,6718.77,30.12,10199.96,2192,255,1168361,320042,34402,245395,1306,567216,16.7377,83.2623,1.6143,0.1878,51.4085,8.6046,27.3924,2.9445,21.0034,0.1118,48.548,17,1,2,7,3,1,2
HA,"Hawaiian Airlines Network",80084,13710,8304.79,379.32,232.46,91.43,4702.15,660,89,726688,448352,23221,8797,3439,242879,17.1195,82.8805,0.8241,0.1111,53.0042,9.0741,61.698,3.1955,1.2106,0.4732,33.4227,12,1,3,2,1,2,3
PT,"Piedmont Airlines",210509,36666,7610.18,2447.01,9291.18,44.82,17272.61,3929,724,3113208,733333,330081,423774,2114,1623906,17.4178,82.5822,1.8664,0.3439,84.9072,14.789,23.5555,10.6026,13.6121,0.0679,52.1618,17,1,4,11,20,10,4
C5,"CommuteAir LLC dba CommuteAir",116458,21366,6820.18,1042.48,5816.62,2,7684.41,2369,329,2112021,651379,169984,307312,41,983305,18.3465,81.6535,2.0342,0.2825,98.8496,18.1355,30.8415,8.0484,14.5506,0.0019,46.5575,17,1,5,13,13,14,5
DL,"Delta Air Lines Network",1445690,273369,99969.29,7729.77,82585.08,206.03,82879.23,20752,3731,19639490,8599282,955033,4162957,13518,5908700,18.9092,81.0908,1.4354,0.2581,71.8424,13.5849,43.7857,4.8628,21.1969,0.0688,30.0858,17,1,6,6,9,6,6
MQ,"Envoy Air",428857,84634,16761.35,6195.01,27482.76,139.2,34056.24,9940,1119,5518799,1117242,679990,1303140,6029,2412398,19.7348,80.2652,2.3178,0.2609,65.2078,12.8686,20.2443,12.3213,23.6127,0.1092,43.7124,17,1,7,16,10,5,7
YX,"Republic Airline",498436,101340,22626.72,3038.38,42478.79,107.5,33088.72,18230,1033,7199212,1751651,401770,2358596,5509,2681686,20.3316,79.6684,3.6574,0.2072,71.0402,14.4436,24.3311,5.5807,32.7619,0.0765,37.2497,17,1,8,20,7,8,8
UA,"United Air Lines Network",1133266,230494,61703.31,7214.19,96843.53,17.55,64715.21,10721,3231,16571437,4264054,822135,5471240,1565,6012443,20.3389,79.6611,0.946,0.2851,71.8953,14.6227,25.7313,4.9612,33.0161,0.0094,36.282,17,1,9,4,14,9,9
OO,"SkyWest Airlines Inc.",1190506,244110,122002.94,25670.69,47660.35,349.56,48426.43,19260,3850,21088105,10074028,2992740,3611561,24160,4385616,20.5047,79.4953,1.6178,0.3234,86.3877,17.7136,47.7711,14.1916,17.1261,0.1146,20.7966,17,1,10,8,19,12,10
AS,"Alaska Airlines Network",380236,80461,21055.02,2314.13,27473.98,482.53,29135.36,4640,1055,4153212,1273427,177975,1069175,18262,1614373,21.1608,78.8392,1.2203,0.2775,51.6177,10.9227,30.6613,4.2852,25.7433,0.4397,38.8705,17,1,11,5,12,3,11
