airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_rate_pct,not_delayed_15plus_rate_pct,cancellation_rate_pct,diversion_rate_pct,avg_delay_minutes_per_delayed_flight,avg_delay_minutes_per_flight,carrier_delay_share_pct,weather_delay_share_pct,nas_delay_share_pct,security_delay_share_pct,late_aircraft_delay_share_pct,months_reported,rank_eligible,delay_rate_rank,cancellation_rate_rank,diversion_rate_rank,avg_delay_per_flight_rank,not_delayed_15plus_rank
TWF,"Twin Falls, ID: Joslin Field - Magic Valley Regional",1086,73,54.54,13.58,4.89,0,0,4,0,6008,3775,1876,357,0,0,6.7219,93.2781,0.3683,0,82.3014,5.5322,62.8329,31.225,5.9421,0,0,17,1,1,4,1,4,1
LWS,"Lewiston, ID: Lewiston Nez Perce County",1062,91,67.25,15.96,6.78,0,1,3,3,5654,4032,1346,219,0,57,8.5687,91.4313,0.2825,0.2825,62.1319,5.3239,71.3123,23.8062,3.8734,0,1.0081,17,1,2,3,157,3,2
ABR,"Aberdeen, SD: Aberdeen Regional",1055,121,80.58,26.9,13.51,0,0,12,4,13807,9071,3860,876,0,0,11.4692,88.5308,1.1374,0.3791,114.1074,13.0872,65.6986,27.9568,6.3446,0,0,17,1,3,72,210,89,3
PHF,"Newport News/Williamsburg, VA: Newport News/Williamsburg International",2103,261,79.23,29.36,42.7,2,107.72,46,14,17948,5064,2857,2046,78,7903,12.4108,87.5892,2.1874,0.6657,68.7663,8.5345,28.2148,15.9182,11.3996,0.4346,44.0328,17,1,4,189,263,20,4
FLO,"Florence, SC: Florence Regional",1303,163,36.47,14.07,18.47,0,93.97,28,0,14124,2172,1199,711,0,10042,12.5096,87.4904,2.1489,0,86.6503,10.8396,15.3781,8.4891,5.034,0,71.0988,17,1,5,185,1,51,5
YKM,"Yakima, WA: Yakima Air Terminal/McAllister Field",1029,131,37.06,2.53,21.48,2.14,67.83,11,0,5116,1682,221,664,68,2481,12.7308,87.2692,1.069,0,39.0534,4.9718,32.8772,4.3198,12.9789,1.3292,48.4949,17,1,6,64,1,1,6
ITO,"Hilo, HI: Hilo International",9438,1236,645.75,27.27,42.54,8.18,512.24,84,7,49473,23152,1195,1427,226,23473,13.096,86.904,0.89,0.0742,40.0267,5.2419,46.7972,2.4155,2.8844,0.4568,47.4461,17,1,7,41,13,2,7
CDV,"Cordova, AK: Merle K Mudhole Smith",1023,134,28.74,6.78,22.8,0,75.67,20,14,7611,1569,712,958,0,4372,13.0987,86.9013,1.955,1.3685,56.7985,7.4399,20.6149,9.3549,12.587,0,57.4432,17,1,8,157,292,12,8
SUN,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",4385,576,249.63,73.44,119.29,0,133.62,34,60,42417,17199,7686,7417,0,10115,13.1357,86.8643,0.7754,1.3683,73.6406,9.6732,40.5474,18.1201,17.4859,0,23.8466,17,1,9,28,291,32,9
ALW,"Walla Walla, WA: Walla Walla Regional",1031,138,40.12,7.89,21.85,1,67.12,25,2,6043,1655,675,727,307,2679,13.3851,86.6149,2.4248,0.194,43.7899,5.8613,27.3871,11.1699,12.0304,5.0803,44.3323,17,1,10,223,89,5,10
GUM,"Guam, TT: Guam International",1034,139,67.46,3.97,27.65,0,39.92,11,0,8787,2732,126,869,0,5060,13.4429,86.5571,1.0638,0,63.2158,8.4981,31.0914,1.4339,9.8896,0,57.5851,17,1,11,62,1,19,11
YAK,"Yakutat, AK: Yakutat Airport",1023,138,19.04,5.73,22.29,1,89.94,15,24,7370,816,353,761,15,5425,13.4897,86.5103,1.4663,2.346,53.4058,7.2043,11.0719,4.7897,10.3256,0.2035,73.6092,17,1,12,102,301,9,12
OGG,"Kahului, HI: Kahului Airport",36262,5022,2629.84,128.12,776.32,8.64,1476.14,272,90,266057,141434,13547,26877,286,83358,13.8492,86.1508,0.7501,0.2482,52.9783,7.3371,53.1593,5.0918,10.102,0.1075,31.3309,17,1,13,27,139,11,13
PGV,"Greenville, NC: Pitt Greenville",1513,210,50.27,17.16,39.8,0,102.8,34,6,15969,2929,1944,1253,0,9843,13.8797,86.1203,2.2472,0.3966,76.0429,10.5545,18.3418,12.1736,7.8465,0,61.6382,17,1,14,198,218,47,14
GTF,"Great Falls, MT: Great Falls International",3606,502,237.64,35.53,84.23,0,144.6,17,4,31132,12563,2779,3962,0,11828,13.9212,86.0788,0.4714,0.1109,62.0159,8.6334,40.354,8.9265,12.7265,0,37.9931,17,1,15,9,30,21,15
OTZ,"Kotzebue, AK: Ralph Wien Memorial",1017,144,58.48,16.17,20.68,0,48.65,57,3,8313,3302,1463,711,0,2837,14.1593,85.8407,5.6047,0.295,57.7292,8.174,39.7209,17.5989,8.5529,0,34.1273,17,1,16,299,174,15,16
ADQ,"Kodiak, AK: Kodiak Airport",1183,168,49.88,10.59,24.68,1,81.86,53,4,9719,3130,606,1141,20,4822,14.2012,85.7988,4.4801,0.3381,57.8512,8.2156,32.205,6.2352,11.7399,0.2058,49.6142,17,1,17,293,192,17,17
MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",1103,157,55.7,6.44,50.28,0,44.58,17,3,9081,2919,645,2149,0,3368,14.2339,85.7661,1.5413,0.272,57.8408,8.233,32.144,7.1027,23.6648,0,37.0884,7,1,18,112,152,18,18
HLN,"Helena, MT: Helena Regional",2727,393,164.27,25.49,82.67,1,119.55,20,11,27768,9127,2449,6178,44,9970,14.4114,85.5886,0.7334,0.4034,70.6565,10.1826,32.8688,8.8195,22.2486,0.1585,35.9046,17,1,19,26,219,38,19
RHI,"Rhinelander, WI: Rhinelander/Oneida County",1232,179,113.4,29.02,19.14,0,17.44,31,5,16774,10508,3995,1257,0,1014,14.5292,85.4708,2.5162,0.4058,93.7095,13.6153,62.6446,23.8166,7.4937,0,6.0451,17,1,20,233,220,96,20
BJI,"Bemidji, MN: Bemidji Regional",1029,152,112.3,26.67,13.03,0,0,12,2,17382,13098,3442,842,0,0,14.7716,85.2284,1.1662,0.1944,114.3553,16.8921,75.3538,19.8021,4.8441,0,0,17,1,21,74,90,194,21
LIH,"Lihue, HI: Lihue Airport",22145,3288,1545.93,102.91,469.95,10,1157.15,189,53,156476,73059,6554,16160,292,60132,14.8476,85.1524,0.8535,0.2393,47.59,7.066,46.6902,4.1885,10.3275,0.1866,38.4289,17,1,22,36,128,6,22
OME,"Nome, AK: Nome Airport",1022,152,52.43,10.58,26.51,0,62.48,37,1,7236,2461,864,841,0,3070,14.8728,85.1272,3.6204,0.0978,47.6053,7.0802,34.0105,11.9403,11.6224,0,42.4268,17,1,23,281,22,7,23
KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",22582,3368,1440.12,66.63,741.37,9.99,1108.97,182,55,162518,72031,5112,25735,349,59068,14.9145,85.0855,0.806,0.2436,48.2536,7.1968,44.3219,3.1455,15.8352,0.2147,36.3455,17,1,24,30,133,8,24
SLC,"Salt Lake City, UT: Salt Lake City International",166092,24781,9787.55,1234.84,4974.82,31.65,8752.09,1080,167,1725704,798820,127498,202380,1489,595517,14.92,85.08,0.6502,0.1005,69.6382,10.39,46.2895,7.3882,11.7274,0.0863,34.5086,17,1,25,17,24,45,25
CLD,"Carlsbad, CA: McClellan-Palomar",1220,183,56.66,2.75,39.51,0,84.08,12,3,9422,2496,361,1858,0,4707,15,85,0.9836,0.2459,51.4863,7.723,26.4912,3.8315,19.7198,0,49.9575,16,1,26,53,135,13,26
ERI,"Erie, PA: Erie International/Tom Ridge Field",1513,230,63.02,22.48,44.01,0,100.47,24,17,17902,4308,2835,1531,0,9228,15.2016,84.7984,1.5863,1.1236,77.8348,11.8321,24.0644,15.8362,8.5521,0,51.5473,17,1,27,119,286,68,27
SGU,"St. George, UT: St George Regional",6546,1000,611.61,77.78,137.71,1.19,171.71,14,19,74880,44922,8981,8299,49,12629,15.2765,84.7235,0.2139,0.2903,74.88,11.439,59.992,11.9939,11.0831,0.0654,16.8657,17,1,28,1,163,62,28
BLI,"Bellingham, WA: Bellingham International",3357,513,117.34,21.19,117.44,1.88,255.17,43,4,32759,8236,3573,4578,49,16323,15.2815,84.7185,1.2809,0.1192,63.8577,9.7584,25.1412,10.9069,13.9748,0.1496,49.8275,17,1,29,83,35,33,29
MFR,"Medford, OR: Rogue Valley International - Medford",10820,1687,609.27,129.05,329.72,3.25,615.71,138,51,94279,32745,12339,13043,103,36049,15.5915,84.4085,1.2754,0.4713,55.8856,8.7134,34.732,13.0878,13.8345,0.1093,38.2365,17,1,30,81,240,22,30
BET,"Bethel, AK: Bethel Airport",1244,198,75.88,14.96,34.43,1.04,71.71,42,4,10183,3882,861,1186,27,4227,15.9164,84.0836,3.3762,0.3215,51.4293,8.1857,38.1224,8.4553,11.6469,0.2651,41.5104,17,1,31,275,183,16,31
RFD,"Rockford, IL: Chicago/Rockford International",1353,217,84.97,17.32,60.5,0.21,54,5,6,18095,7688,2620,3572,10,4205,16.0384,83.9616,0.3695,0.4435,83.3871,13.374,42.4869,14.4791,19.7403,0.0553,23.2385,17,1,32,5,233,94,32
FSM,"Fort Smith, AR: Fort Smith Regional",1629,262,80.5,26.65,48.37,0,106.47,60,4,14779,3586,2383,2279,0,6531,16.0835,83.9165,3.6832,0.2455,56.4084,9.0724,24.2642,16.1242,15.4205,0,44.1911,17,1,33,282,134,25,33
GFK,"Grand Forks, ND: Grand Forks International",1856,299,155.95,51.47,51.4,0,40.14,26,9,23504,13623,4066,2481,0,3334,16.1099,83.8901,1.4009,0.4849,78.6087,12.6638,57.9603,17.2992,10.5557,0,14.1848,17,1,34,93,243,83,34
HHH,"Hilton Head, SC: Hilton Head Airport",3050,496,143.84,22.41,179.96,0.15,149.65,39,31,26904,7778,1557,7389,3,10177,16.2623,83.7377,1.2787,1.0164,54.2419,8.821,28.9102,5.7872,27.4643,0.0112,37.8271,17,1,35,82,282,23,35
LYH,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",2675,437,104.74,43.3,76.04,0,212.94,52,11,41773,7329,6115,2933,0,25396,16.3364,83.6636,1.9439,0.4112,95.5904,15.6161,17.5448,14.6386,7.0213,0,60.7953,17,1,36,155,221,153,36
